What Was Your Role;Episodes;Engagement General Public;Importance Of Explanation;Importance Of Monitoring;Importance Of Reproducibility;Support Of Explanation;Support Of Monitoring;Support Of Reproducibility;Usefulness Of Screens;Usefulness Of TMI;Usefulness Of APIs;Difficulty With Addition Of DH;DH Improve The Rules;Difficulty Integration DH;DH More Difficult Rules;Novelty with DH;More Useful: Maps;More Useful: Status Messages;More Useful: TMI;More Useful: Robot Activity Log Video;Expand The Approach;Explanation;Monitoring;Reproducibility;InWhichDirection;
Referee;3;3,00;4,00;4,00;4,00;4,00;4,00;3,00;3,00;3,00;;3,00;2,00;;2,00;No;4,00;4,00;3,00;3,00;No;;;;;
Referee;3;5,00;5,00;5,00;5,00;4,00;5,00;3,00;4,00;3,00;;3,00;3,00;;3,00;Yes;5,00;4,00;5,00;;Yes;;;;More explanation, More monitoring;
Referee;3;5,00;5,00;5,00;3,00;4,00;4,00;4,00;4,00;4,00;;3,00;2,00;;2,00;Yes;4,00;5,00;4,00;4,00;Yes;;;;More explanation;
Referee;3;4,00;5,00;4,00;4,00;4,00;4,00;4,00;5,00;4,00;;4,00;2,00;;4,00;Yes;5,00;5,00;3,00;3,00;Yes;;;;More monitoring;
Referee;4;4,00;3,00;4,00;5,00;4,00;4,00;4,00;5,00;4,00;;5,00;3,00;;2,00;Yes;3,00;4,00;4,00;4,00;Yes;;;;More reproducibility;
Referee;4;4,00;5,00;5,00;4,00;4,00;4,00;3,00;5,00;4,00;;3,00;3,00;;3,00;Yes;5,00;4,00;4,00;5,00;Yes;;;;More explanation, More monitoring, More reproducibility;
Referee;7;3,00;5,00;4,00;5,00;4,00;4,00;2,00;3,00;4,00;;2,00;4,00;;2,00;Yes;2,00;5,00;4,00;;Yes;;;;More reproducibility, More explanation, Other;In the trail management UI it was too easy to make a mistake and edit the wrong trail. Usability could be improved. Ability to easily edit the shelf layout would make possible to safely change shelf layout during the competition. Important to make clear to the public the robot goals during each trail and their success at each goal.
Referee;7;3,00;4,00;4,00;4,00;3,00;3,00;3,00;4,00;4,00;;3,00;3,00;;2,00;No;3,00;4,00;4,00;5,00;Yes;;;;More explanation, More monitoring;
Referee;10;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;4,00;4,00;;2,00;Yes;;5,00;5,00;5,00;Yes;;;;More explanation, More monitoring, More reproducibility;
Referee;10;5,00;4,00;3,00;2,00;2,00;5,00;3,00;3,00;3,00;;3,00;4,00;;2,00;No;4,00;3,00;3,00;5,00;Yes;;;;More explanation;
Referee;10;4,00;5,00;4,00;4,00;3,00;4,00;2,00;4,00;4,00;;3,00;2,00;;2,00;No;4,00;5,00;4,00;3,00;Yes;;;;More explanation;
Referee;12;4,00;5,00;5,00;4,00;4,00;5,00;3,00;5,00;5,00;;1,00;4,00;;1,00;Yes;5,00;5,00;4,00;5,00;Yes;;;;More explanation, More monitoring;
Referee;12;4,00;5,00;5,00;5,00;4,00;4,00;2,00;5,00;4,00;;3,00;4,00;;3,00;Yes;5,00;5,00;5,00;5,00;Yes;;;;More reproducibility, More explanation;
